[0.6171875, 0.8183594, 0.92871094, 0.953125, 0.9628906, 0.9667969, 0.9716797, 0.9765625, 0.9785156, 0.9785156]
[0.6435547, 0.9267578, 0.9667969, 0.9716797, 0.97265625, 0.9785156, 0.9785156, 0.98046875, 0.98046875, 0.9824219]
[0.609375, 0.8310547, 0.9189453, 0.9482422, 0.9628906, 0.96484375, 0.9746094, 0.97558594, 0.9765625, 0.9785156]
[0.7167969, 0.9091797, 0.94921875, 0.9560547, 0.96777344, 0.9609375, 0.9736328, 0.9746094, 0.9814453, 0.984375]
[0.6484375, 0.83984375, 0.9501953, 0.96191406, 0.96777344, 0.9765625, 0.97558594, 0.98046875, 0.9794922, 0.98339844]
[0.6611328, 0.921875, 0.95996094, 0.9609375, 0.96972656, 0.96484375, 0.9746094, 0.9794922, 0.9746094, 0.9746094]
[0.6533203, 0.84472656, 0.9355469, 0.94921875, 0.9560547, 0.9589844, 0.9658203, 0.9716797, 0.96972656, 0.9716797]
[0.7480469, 0.94433594, 0.9609375, 0.9589844, 0.95703125, 0.9765625, 0.9785156, 0.98535156, 0.98535156, 0.9824219]
[0.5917969, 0.8173828, 0.92871094, 0.9628906, 0.9716797, 0.96972656, 0.9765625, 0.9736328, 0.97558594, 0.9814453]
[0.6640625, 0.90234375, 0.9638672, 0.9736328, 0.9746094, 0.97753906, 0.9794922, 0.984375, 0.9863281, 0.98535156]
